"Payment Structure for Tourist Establishments (Previous)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Category"	"Registration"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"Admin Fee
Registration Fee
License Fee"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	""
"Camping Sites -Up to 10"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"15,000.00"	"384.62"	"2,307.69"	"17,692.31"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"-Per Unit More Than 10"	""	""	""	""	""	""	""	""	""	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	""	""	""
"Other Services"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Tourist Restaurants"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	"28,000.00
43,000.00
40,000.00
43,000.00
28,000.00
28,000.00
15,000.00
2,000.00
500
1,000.00
40,000.00
35,000.00"	"33,025.64
50,717.95
47,179.49
50,717.95
33,025.64
33,025.64
17,692.31
2,358.97
12,502.56
589.74
1,179.49
47,179.49
41,282.05"	""
"Spa & Wellness Centers"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"9,000.00"	"230.77"	"1,384.62"	"10,615.38"	""	""	""	""
"Water Sports Centers"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	""	""	""
"Tourist Shops -Gem & Jewellery"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"9,000.00"	"230.77"	"1,384.62"	"10,615.38"	""	""	""	""
"-Handicraft & Batik"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	""	""	""
"Spice Garden"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	""	""	""
"Travel Agencies"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"-"	""	""	""	""	""	""	""
"Tourist Friendly Eating Places"	""	""	""	""	"2,000.00"	"51.28"	"307.69"	"2,358.97"	""	""	"0.00"	"0.00"	"0.00"	""	""	""	""
"Guides   -National Tour Guide Lecturer"	"-"	""	""	""	"10,600.00"	"271.79"	"1,630.77"	"12,502.56"	""	""	""	""	""	""	""	""	""
"-Chauffeur Tour Guide Lecturer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Association Involved in Tourism-Less Than 30 Members"	""	""	""	""	"500.00"	"12.82"	"76.92"	"589.74"	""	""	""	""	""	""	""	""	""
"-30 or more than 30 members"	"-"	""	""	""	"1,000.00"	"25.64"	"153.85"	"1,179.49"	""	""	""	""	""	""	""	""	""
"Destination Events Management Companies (DEMC)"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"20,000.00"	"512.82"	"3,076.92"	"23,589.74"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"Food Court"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"15,000.00"	"384.62"	"2,307.69"	"17,692.31"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"Provisional"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1,100.00 
28.28
169.24
1,297.52
Bungalow, Rented Apartments, Homestay, Travel Agency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2,200.00 
56.56
338.48
2,595.04
Guest House, Restaurant, Spa, Tourist Hotel"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Other Payments (All categories)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2,000.00 
51.41
307.71
2,359.13
Name/Address change Fee"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
