"Payment Structure for Tourist Establishments (Previous)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Category"	"Registration"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	"Admin Fee
Registration Fee
License Fee"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	""
""	"Admin 
 
License 
Total 
Total 
 Total 
Total 
SSCL 
SSCL 
SSCL 
Regist.Fee 
Fee 
Fee 
License 
VAT 15%
VAT 15%
VAT 15%
Admin fee 
Before 
Regist. fee 
2.5%
2.5%
2.5%
Before 
Before 
fee with 
Before 
with Taxes
Tax
with Taxes
Taxes
Taxes
Taxes
Taxes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Final 
Payment 
After 
Taxes"	""
"Accommodation Services"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Classified Tourist Hotels -1 Star"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"2,000.00"	"51.28"	"307.69"	"2,358.97"	""	"17,000.00
22,500.00
30,000.00
37,500.00
45,000.00
46,000.00
52,000.00
58,000.00
46,000.00
52,000.00
58,000.00
46,000.00
52,000.00
58,000.00
25,000.00
35,000.00
45,000.00
25,000.00
25,000.00
27,000.00
30,000.00
28,000.00
31,000.00
26,800.00
28,000.00
25,600.00
26,800.00
8,000.00
33,000.00
13,000.00
21,500.00
35,000.00
5,000.00"	"20,051.28
26,538.46
35,384.62
44,230.77
53,076.92
54,256.41
61,333.33
68,410.26
54,256.41
61,333.33
68,410.26
54,256.41
61,333.33
68,410.26
29,487.18
41,282.05
53,076.92
29,487.18
29,487.18
31,846.15
35,384.62
33,025.64
36,564.10
31,610.26
33,025.64
30,194.87
31,610.26
9,435.90
38,923.08
15,333.33
25,358.97
41,282.05
5,897.44"	""
"-2 Star"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	"2,500.00"	"64.10"	"384.62"	"2,948.72"	""	""	""	""
"-3 Star"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"15,000.00"	"384.62"	"2,307.69"	"17,692.31"	""	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	""	""	""
"-4 Star"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"20,000.00"	"512.82"	"3,076.92"	"23,589.74"	""	"7,500.00"	"192.31"	"1,153.85"	"8,846.15"	""	""	""	""
"-5 Star"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"25,000.00"	"641.03"	"3,846.15"	"29,487.18"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"Tourist  Hotels               -25 Rooms or Less"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	""	""	""
"-26 Rooms – 50 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"18,000.00"	"461.54"	"2,769.23"	"21,230.77"	""	""	""	""
"-51 Rooms or More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	""	""	""
"Boutique Hotel /Villa      -25 rooms and less"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	""	""	""
"-26 Rooms -50 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"18,000.00"	"461.54"	"2,769.23"	"21,230.77"	""	""	""	""
"-51 Rooms or More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	""	""	""
"Apartment Hotels           -Up to 25 Units"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	""	""	""
"-26 to 50 Units"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"18,000.00"	"461.54"	"2,769.23"	"21,230.77"	""	""	""	""
"-Above 50 Units"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	"24,000.00"	"615.38"	"3,692.31"	"28,307.69"	""	""	""	""
"Heritage Hotels              -Heritage Standard"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"-Heritage classic"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	"15,000.00"	"384.62"	"2,307.69"	"17,692.31"	""	""	""	""
"-Heritage Grand"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"15,000.00"	"384.62"	"2,307.69"	"17,692.31"	""	"20,000.00"	"512.82"	"3,076.92"	"23,589.74"	""	""	""	""
"Eco Lodge"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
""	"Themed accommodation and Value-added Services"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"01-10 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"11-20 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"7,000.00"	"179.49"	"1,076.92"	"8,256.41"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"21 More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"Guest House                       A Grade -1-10 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	""	""	""
"A Grade-11 & More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"9,000.00"	"230.77"	"1,384.62"	"10,615.38"	""	""	""	""
"B Grade -1-10 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"4,800.00"	"123.08"	"738.46"	"5,661.54"	""	""	""	""
"B Grade -11 & More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"6,000.00"	"153.85"	"923.08"	"7,076.92"	""	""	""	""
"C Grade -1-10 Rooms"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"3,600.00"	"92.31"	"553.85"	"4,246.15"	""	""	""	""
"C Grade -11 & More"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"12,000.00"	"307.69"	"1,846.15"	"14,153.85"	""	"4,800.00"	"123.08"	"738.46"	"5,661.54"	""	""	""	""
"Home Stay"	"1000"	"25.64"	"153.85"	"1,179.49"	"2,000.00"	"51.28"	"307.69"	"2,358.97"	""	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	""	""	""
"Rented Apartment"	"3000"	"76.92"	"461.54"	"3,538.46"	"20,000.00"	"512.82"	"3,076.92"	"23,589.74"	""	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	""	""	""	""
"Bungalow, Rented Homes, Heritage Bungalows, 
Heritage Homes"	"3000"	"76.92"	"461.54"	"3,538.46"	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	""	""	""
"Tourist Hostel"	"10,000.00"	"256.41"	"1,538.46"	"11,794.87"	"6,500.00"	"166.67"	"1,000.00"	"7,666.67"	""	"5,000.00"	"128.21"	"769.23"	"5,897.44"	""	""	""	""
