"No"	"Subject & Contract Number"	"Non 
Refundable 
Fee (Rs.)"	"Bid Security 
Requirements 
(Rs.)"	"Pre Bid Meeting"	"Closing Date 
and Time"
""	""	""	""	"Date & Time"	""
"Service"	""	""	""	""	""
"1."	"Providing Security Service to the Head Office Premises of SLTDA, SLTPB 
& SLITHM – 2023 
SLTDA/HR&PM/NC/NCB/Security/2022/03"	"10,000"	"225,000"	"25th October - 10:00 hrs - 
Zoom"	"04th Nov 2022 
14.00 hrs."
"3."	"Providing Janitorial Service to the Head Office Premises of SLTDA & 
SLTPB – 2023 
SLTDA/HR&PM/NC/NCB/Janitorial/2022/01"	"7,500"	"180,000"	"25th October - 11:30 hrs - 
Zoom"	"04th Nov 2022 
14.30 hrs."
