"Nature of Development 
Activities"	"Floor area"	"Amount Rs. (Ex.Tax)"	"Tax Rs.(VAT 15%)"	"UDA Fee with 
taxes"
"Developments 
( As per 
the item no. 12 in schedule 02 
under fee for issuing PPC and 
renewal)"	"Up to 400 m2"	"5,000.00"	"750.00"	"5,750.00"
""	"401 m2- 500 m2"	"10,000.00"	"1,500.00"	"11,500.00"
""	"501 m2 -750 m2"	"25,000.00"	"3,750.00"	"28,750.00"
""	"751 m2-1000m2"	"50,000.00"	"7,500.00"	"57,500.00"
""	"More than 1000 m2"	"Rs. 50,000/- + Rs.500/- 
for every additional 100 
m2 or part thereof in 
excess of 1000 m2"	""	""
