"Investment Rs."	"Type"	"Fee (Rs.) 
without 
taxes"	"Fee with 
taxes 
(Rs.)"
"Tourism Projects with a total investment value 
less than 10 Mn"	"Guest House"	"15,000.00"	"17,250.00"
"Tourism Projects with a total investment value 
between 10 - 30 Mn"	"Guest House"	"25,000.00"	"28,750.00"
"Tourism Projects with a total investment value 
between 30 - 50 Mn"	"Guest Houses/Boutique 
Villas ( 5-7 rooms only)"	"45,000.00"	"51,750.00"
"Tourism Projects with a total investment value 
with more than 50 Mn"	"Hotel/Boutique 
Hotels/Guest Houses"	"150,000.00"	"172,500.00"
