"Fees  Payable for Registration  and Licensing"	""	""	""
"COLUMN I
Category"	""	"COLUMN II
Registration  Fee"	"COLUMN III
Licensing"
"(1)"	"1
  Star Hotel"	"Rs.  5,000.  00"	"Rs.  2,000.00"
"(2)"	"2  Star Hotel"	"Rs.  10,000.00"	"Rs.  2,500.00"
"(3)"	"3  Star Hotel"	"Rs.  15,000.00"	"Rs.  5,000.00"
"(4)"	"4  Star Hotel"	"Rs.  20,000.00"	"Rs.  7,500.00"
"(5)"	"5  Star Hotel"	"Rs.  25,000.00"	"Rs.  10,000.00"
