"S/N"	"Required Documents (6)"
"1"	"Renewed Lease Agreement"
"2"	"Bank Guarantee (original)  - View"
"3"	"Form 20/No director change confirming letter (if  Directors are Changed of a limited 
liability company)"
"4"	"Form 13 /Board Resolution for operational address   
(If the registered address and operational address are different -In the case of limited 
liability company )  
Or No address change confirming letter"
"5"	"List of staff /Individual with Name, designation and NIC number in the 
company Letterhead signed by a proprietor / Director of the Travel Agency."
