"S
ECTION A: Demonstrate effective sustainable management"	""
"INDUSTRY CRITERIA"	"INDICATORS FOR HOTELS"
"A1 Sustainability management 
system 
The organization has implemented a 
long-term sustainability 
management system that is suitable 
to its size and scope, addresses 
environmental, social, cultural, 
economic, quality, human rights, 
health, safety, risk and crisis 
management issues and drives 
continuous improvement."	"1.  The Sustainability Management System is clearly 
documented. 
2.  The SM System covers environmental, social, 
cultural, economic, quality, human rights, health 
and safety issues. 
3.  The SM System includes consideration of risk and 
crisis management. 
4.  Documentary evidence shows implementation of 
the SM system. 
5.  The SM System includes a process for monitoring 
continuous improvement in sustainability 
performance."
"A2 Legal compliance 
The organization is in compliance 
with all applicable local, national 
and international legislation and 
regulations including, among others, 
health, safety, labour and 
environmental aspects."	"1.  An up to date list of all applicable legal 
requirements is maintained. 
2.  Certificates or other documentary evidence show 
compliance with all applicable legal requirements."
"A3 Reporting and communication 
The organization communicates its 
sustainability policy, actions and 
performance to stakeholders, 
including customers, and seeks to 
engage their support."	"1.  Regular reports are made available on sustainability 
performance. 
2.  Sustainability policies and actions are reported in 
external and internal communication material. 
3.  Communications contain messages inviting 
consumer and stakeholder support."
"A4 Staff engagement 
Staff are engaged with development 
and implementation of the 
sustainability management system 
and receive periodic guidance and 
training regarding their roles and 
responsibilities in its delivery."	"1.  Evidence is available of staff involvement with the 
SM System. 
2.  Records of courses and on-the-job training, with 
attendance levels, are available. 
3.  Staff training and guidance materials are available 
in accessible format (including use of minority 
languages where needed)."
